Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-08 00:00:00+07:00,1337.1154664515207,1341.9251559273366,1322.6861572265625,1322.6861572265625,4545739,0.0,0.0
2022-11-09 00:00:00+07:00,1322.6861572265625,1327.4958467023785,1313.0665374774203,1322.6861572265625,6810355,0.0,0.0
2022-11-10 00:00:00+07:00,1322.6861572265625,1322.6861572265625,1303.4470381270332,1322.6861572265625,6107808,0.0,0.0
2022-11-11 00:00:00+07:00,1327.4958467023785,1346.7349658019077,1317.8763473519914,1322.6861572265625,7463482,0.0,0.0
2022-11-14 00:00:00+07:00,1327.495849609375,1337.1154693795827,1317.876350237923,1327.495849609375,7712018,0.0,0.0
2022-11-15 00:00:00+07:00,1322.6861572265625,1332.3056565769496,1317.8763473519914,1322.6861572265625,4222765,0.0,0.0
2022-11-16 00:00:00+07:00,1322.6861450293982,1327.4958344608615,1303.4470261072825,1308.2568359375,4702818,0.0,0.0
2022-11-17 00:00:00+07:00,1308.2568359375,1313.0665253689633,1298.6372162770651,1308.2568359375,4588700,0.0,0.0
2022-11-18 00:00:00+07:00,1303.447021484375,1327.4958297526605,1298.6372116712164,1303.447021484375,7399502,0.0,0.0
2022-11-21 00:00:00+07:00,1322.6861450293982,1322.6861450293982,1308.2568359375,1308.2568359375,2300604,0.0,0.0
2022-11-22 00:00:00+07:00,1308.2568359375,1313.0665253689633,1303.4470261072825,1308.2568359375,2513870,0.0,0.0
2022-11-23 00:00:00+07:00,1308.2568508664708,1327.495849609375,1308.2568508664708,1327.495849609375,6466874,0.0,0.0
2022-11-24 00:00:00+07:00,1332.3056640625,1346.7349733685292,1332.3056640625,1332.3056640625,3873132,0.0,0.0
2022-11-25 00:00:00+07:00,1346.7349611230936,1346.7349611230936,1313.0665329155765,1317.8763427734375,2814288,0.0,0.0
2022-11-28 00:00:00+07:00,1313.0665253689633,1317.8763351991806,1298.6372162770651,1308.2568359375,4852411,0.0,0.0
2022-11-29 00:00:00+07:00,1303.4470012544145,1308.2568109929232,1274.5883836208664,1279.398193359375,7048229,0.0,0.0
2022-11-30 00:00:00+07:00,1279.3981963910337,1293.8275052419995,1279.3981963910337,1284.2078857421875,4778588,0.0,0.0
2022-12-01 00:00:00+07:00,1284.2080009405279,1289.0178111218922,1269.7788111939612,1274.5885009765625,5060448,0.0,0.0
2022-12-02 00:00:00+07:00,1274.5883758338096,1279.3981855429329,1260.159067105191,1269.7786865234375,5095206,0.0,0.0
2022-12-05 00:00:00+07:00,1269.7786769630059,1284.207865184233,1260.1590576171875,1260.1590576171875,3648792,0.0,0.0
2022-12-06 00:00:00+07:00,1260.1590448013562,1260.1590448013562,1236.1102374788873,1245.729736328125,5506050,0.0,0.0
2022-12-07 00:00:00+07:00,1245.7297151160956,1250.5395246581886,1221.680908203125,1221.680908203125,4017906,0.0,0.0
2022-12-08 00:00:00+07:00,1202.4419062035395,1240.9201454474398,1139.914978130029,1216.8712158203125,23887408,0.0,0.0
2022-12-09 00:00:00+07:00,1212.0614994558237,1221.6809988550547,1178.3930709603815,1183.202880859375,8445735,0.0,0.0
2022-12-12 00:00:00+07:00,1183.2028927057452,1202.4418916968302,1159.1540837675102,1197.6322021484375,8497308,0.0,0.0
2022-12-13 00:00:00+07:00,1197.6321216831873,1245.729736328125,1197.6321216831873,1245.729736328125,23956001,0.0,0.0
2022-12-14 00:00:00+07:00,1267.4040125466179,1267.4040125466179,1183.5679494598767,1198.362548828125,21380400,0.0,0.0
2022-12-15 00:00:00+07:00,1198.3624408816504,1213.1570389172261,1183.5678428460744,1193.430908203125,7163500,0.0,0.0
2022-12-16 00:00:00+07:00,1188.499403889974,1203.2940022786458,1183.56787109375,1183.56787109375,16051400,0.0,0.0
2022-12-19 00:00:00+07:00,1183.5678536551338,1183.5678536551338,1104.663330078125,1104.663330078125,35669500,0.0,0.0
